id,location,link_dom_ria_com,rooms,area_general_living_kitch,floor,price_usd,post_date,scrape_date1,views1,scrape_date2,views2,scrape_date_cal1,scrape_date_cal2,views_0,views_decision_%,views_decision1_%
25879120,вул. Різдвяна,-harkov-tsentr-ojdevenkaya-lia-25879120.html,1,13 м²\ 8 м²\ 3 м²,2th of 3,9 200,2024-04-16,2025-01-24,19586.0,2025-01-29,19760.0,283.0,288.0,2937.9,Unreal,0.89
25196855,вул. Букова 1А,-harkov-oleksyiyivka-bkovaya-lia-25196855.html,1,35 м²\ 20 м²\ 10 м²,3th of 6,14 000,2024-06-27,2025-01-24,16017.0,2025-01-29,16071.0,211.0,216.0,2402.55,Unreal,0.34
32222435,вул. Чайковська,-harkov-kievskiy-chaykovskaya-ulitsa-32222435.html,1,35 м²\ 25 м²\ 4 м²,3th of 4,22 000,2025-01-23,2025-01-24,1831.0,2025-01-29,2145.0,1.0,6.0,1971.76,Unreal,-72.5
26797647,вул. Букова 1А,-harkov-alekseevka-bkovaya-lia-26797647.html,2,51 м²\ 35 м²\ 12 м²,2th of 6,15 300,2024-06-27,2025-01-24,13058.0,2025-01-29,13199.0,211.0,216.0,1958.7,Unreal,1.08
31361239,просп. Людвіга Свободи 40,-harkov-shevchenkovskiy-lyudviga-svobody-prospekt-31361239.html,3,66 м²\ 40 м²\ 7 м²,10th of 12,42 000,2025-01-22,2025-01-24,2837.0,2025-01-29,3183.0,2.0,7.0,1641.9,Unreal,-55.27
31189695,"вул. Гвардійців-Широнінців 59А, кв.",-harkov-521yiy-mikrorayon-vadeyevioninev-lia-31189695.html,4,57 м²\ 44.6 м²\ 7.2 м²,4th of 5,30 800,2024-07-25,2025-01-24,10221.0,2025-01-29,10263.0,183.0,188.0,1533.15,Unreal,0.41
26971359,просп. Тракторобудівників,-harkov-htz-26971359.html,1,36 м²\ 20 м²\ 9 м²,3th of 10,10 500,2024-07-26,2025-01-24,10039.0,2025-01-29,10112.0,182.0,187.0,1505.85,Unreal,0.73
25877262,вул. Багалія,-harkov-tsentr-ipieva-lia-25877262.html,1,17 м²\ 10 м²\ 3 м²,2th of 3,15 000,2024-06-20,2025-01-24,10018.0,2025-01-29,10087.0,218.0,223.0,1502.7,Unreal,0.69
20595181,вул. Ботанічна,-harkov-shevchenkovskiy-boaniekiy-peelok-20595181.html,3,119 м²\ 70 м²\ 20 м²,9th of 15,114 000,2024-04-09,2025-01-24,9953.0,2025-01-29,9996.0,290.0,295.0,1492.95,Unreal,0.43
27334681,"вул. Букова 1А, кв.",-harkov-alekseevka-bukovaya-ulitsa-27334681.html,2,47.1 м²\ 22.2 м²\ 8.6 м²,2th of 3,21 000,2024-06-17,2025-01-24,9778.0,2025-01-29,9844.0,221.0,226.0,1466.7,Unreal,0.67
