
id,location,rooms,area_sq_m_gen_liv_kitch,floor,price_usd,views,post_date,scrape_date,link,scrape_date2,views2,scrape_date_cal,scrape_date_cal1,views_0,views_decision_%,views_dec1
32364537,просп. Людвіга Свободи 34,3,65 \ 44.4 \ 6.1,9th of 12,67 500,4077.0,2024-10-22 00:00:00,2025-01-04 00:00:00,https://dom.ria.com/uk/realty-prodaja-kvartira-harkov-337-oy-mikrorayon-lyudviga-svobody-prospekt-32364537.html,2025-01-06 00:00:00,4181.0,74.0,76.0,733.86,Unreal,2.55
32504805,вул. Франтішка Крала 27,2,,4th of 5,18 500,2097.0,2024-11-28 00:00:00,2025-01-04 00:00:00,https://dom.ria.com/uk/realty-prodaja-kvartira-harkov-htz-frantisheka-krala-ulitsa-32504805.html,2025-01-06 00:00:00,2214.0,37.0,39.0,377.94,89.87,5.54
32421186,вул. Каденюка,2,,3th of 5,31 000,1947.0,2024-11-07 00:00:00,2025-01-04 00:00:00,https://dom.ria.com/uk/realty-prodaja-kvartira-harkov-novye-doma-kadenyuka-tankopiya-ulitsa-32421186.html,2025-01-06 00:00:00,2038.0,58.0,60.0,350.47,76.07,4.67
32223052,вул. Світла 4,2,,5th of 5,17 000,1542.0,2024-09-17 00:00:00,2025-01-04 00:00:00,https://dom.ria.com/uk/realty-prodaja-kvartira-harkov-saltovskiy-svetlaya-ulitsa-32223052.html,2025-01-06 00:00:00,1670.0,109.0,111.0,277.56,39.44,8.3
32510510,вул. Клочківська 191А,2,73.4 \ 48 \ 18,3th of 10,67 900,1367.0,2024-12-03 00:00:00,2025-01-04 00:00:00,https://dom.ria.com/uk/realty-prodaja-kvartira-harkov-sosnovaya-gorka-klochkovskaya-ulitsa-32510510.html,2025-01-06 00:00:00,1477.0,32.0,34.0,246.84,24.01,7.94
32361046,вул. Кримська 8,3,70.6 \ 37.9 \ 15.7,3th of 6,91 200,1276.0,2024-10-22 00:00:00,2025-01-04 00:00:00,https://dom.ria.com/uk/realty-prodaja-kvartira-harkov-shevchenkovskiy-krymskaya-ulitsa-32361046.html,2025-01-06 00:00:00,1378.0,74.0,76.0,229.68,15.39,7.99
32603802,вул. Сухумська,3,105.8 \ 56.1 \ 18.3,4th of 21,91 500,361.0,2024-01-02 00:00:00,2025-01-04 00:00:00,https://dom.ria.com/uk/realty-prodaja-kvartira-harkov-pavlovka-klochkovskaya-ulitsa-32603802.html,,,2.0,0.0,214.94,7.98,NaN
30690972,вул. Гвардійців-Широнінців 102,4,,2th of 9,35 000,175.0,2024-01-04 00:00:00,2025-01-04 00:00:00,https://dom.ria.com/uk/realty-prodaja-kvartira-harkov-severnaya-saltovka-gvardeytsev-shironintsev-ulitsa-30690972.html,2025-01-06 00:00:00,277.0,0.0,2.0,0.0,NaN,NaN
31534952,пров. Лосівський 4В,3,,9th of 10,77 000,,2024-12-06 00:00:00,,,2025-01-06 00:00:00,3939.0,0.0,31.0,0.0,NaN,NaN
31632381,вул. Клочківська 101Ж,2,,10th of 10,79 900,312.0,2024-01-04 00:00:00,2025-01-04 00:00:00,https://dom.ria.com/uk/realty-prodaja-kvartira-harkov-shevchenkovskiy-klochkovskaya-ulitsa-31632381.html,2025-01-06 00:00:00,431.0,0.0,2.0,0.0,NaN,NaN
31976078,"просп. Науки 41А, кв. 55",1,28.7 \ 16.5 \ 6.7,4th of 5,21 500,,2024-09-15 00:00:00,,,2025-01-06 00:00:00,1331.0,0.0,113.0,0.0,NaN,NaN
32592843,вул. Русла,2,,1th of 5,14 000,97.0,2024-01-04 00:00:00,2025-01-04 00:00:00,https://dom.ria.com/uk/realty-prodaja-kvartira-harkov-saltovskiy-ruslana-plohodko-ulitsa-32592843.html,2025-01-06 00:00:00,251.0,0.0,2.0,0.0,NaN,NaN
32609756,вул. Шекспіра 7,3,54.9 \ 40.5 \ 5,2th of 5,45 000,88.0,2024-01-04 00:00:00,2025-01-04 00:00:00,https://dom.ria.com/uk/realty-prodaja-kvartira-harkov-pavlovo-pole-shekspira-ulitsa-32609756.html,2025-01-06 00:00:00,229.0,0.0,2.0,0.0,NaN,NaN
32613266,вул. Чередниченківська 7,2,,1th of 9,35 000,,2024-01-05 00:00:00,,,2025-01-06 00:00:00,132.0,0.0,1.0,0.0,NaN,NaN
32613749,вул. Світла 47,3,,3th of 5,24 000,,2024-01-05 00:00:00,,,2025-01-06 00:00:00,143.0,0.0,1.0,0.0,NaN,NaN
32613835,просп. Перемоги 72Г,2,,7th of 9,39 900,,2024-01-05 00:00:00,,,2025-01-06 00:00:00,99.0,0.0,1.0,0.0,NaN,NaN
32614726,вул. Бригади Хартія 3,1,29.7 \ 18.6 \ 5.6,1th of 5,17 000,,2024-01-05 00:00:00,,,2025-01-06 00:00:00,59.0,0.0,1.0,0.0,NaN,NaN
32604569,вул. Клочківська 117,1,,18th of 21,42 000,304.0,2024-01-02 00:00:00,2025-01-04 00:00:00,https://dom.ria.com/uk/realty-prodaja-kvartira-harkov-pavlovka-klochkovskaya-ulitsa-32604569.html,,,2.0,0.0,181.0,-9.07,NaN
32609761,пров. Пілотів 5,1,,3th of 5,16 000,151.0,2024-01-03 00:00:00,2025-01-04 00:00:00,https://dom.ria.com/uk/realty-prodaja-kvartira-harkov-aeroport-pilotov-pereulok-32609761.html,2025-01-06 00:00:00,254.0,1.0,3.0,165.0,-17.11,-33.59
32607840,наб. Нетіченська 15,1,20.8 \ 17.8,3th of 4,16 000,271.0,2024-01-02 00:00:00,2025-01-04 00:00:00,https://dom.ria.com/uk/realty-prodaja-kvartira-harkov-levada-netechenskaya-naberejnaya-32607840.html,,,2.0,0.0,161.35,-18.94,NaN
32611313,вул. Клочківська 276А,2,,8th of 9,30 000,138.0,2024-01-03 00:00:00,2025-01-04 00:00:00,https://dom.ria.com/uk/realty-prodaja-kvartira-harkov-alekseevka-klochkovskaya-ulitsa-32611313.html,2025-01-06 00:00:00,264.0,1.0,3.0,150.79,-24.25,-24.47
